mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
14.41019113858541,0.20886572422328809,0.07150030136108398,0.014954388632174484,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9696969696969697,0.9731778425655977,0.9760932944606414,0.9729893689077364,0.0026146872802651658,5
30.954954703648884,0.8703736053915522,0.14226889610290527,0.007670935232435221,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9696969696969697,0.9720116618075801,0.9772594752186589,0.9729893689077361,0.003163837945878012,6
15.683019161224365,1.298265409159612,0.07018033663431804,0.012791507082046178,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.967948717948718,0.9755102040816327,0.9755102040816327,0.9729897087039944,0.0035645187469547047,3
33.045111974080406,0.6320769156551468,0.1359412670135498,0.012809094174758003,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9731778425655977,0.9729891423768975,0.001664739454171591,7
15.189891338348389,0.1694440241173208,0.06571165720621745,0.008474258806983803,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.967948717948718,0.9696793002915451,0.9685131195335277,0.9687137125912636,0.0007206048350449275,9
30.019755204518635,0.15649168784407805,0.1441070238749186,0.014019381746865343,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9662004662004662,0.9690962099125364,0.9690962099125364,0.9681309620085129,0.0013650666769221159,11
15.292126496632894,0.20954660450709392,0.06571030616760254,0.004513334387762917,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9632867132867133,0.9720116618075801,0.9690962099125364,0.9681315283356099,0.003626673368399746,10
29.157012224197388,0.4912195140289127,0.13137173652648926,0.0034052508018155713,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9621212121212122,0.9696793002915451,0.9667638483965014,0.966188120269753,0.003112316538590817,12
16.291857957839966,0.20197007999283498,0.07770498593648274,0.01090212460589362,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9702797202797203,0.9731778425655977,0.9760932944606414,0.9731836191019864,0.0023733852356985228,2
30.658979892730713,1.3486962359772598,0.1376346747080485,0.02570716367337082,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9691142191142191,0.9731778425655977,0.9772594752186589,0.9731838456328252,0.003325289589328048,1
15.646994590759277,0.3696477939146191,0.061412811279296875,0.0029933503467522173,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.967948717948718,0.9755102040816327,0.9755102040816327,0.9729897087039944,0.0035645187469547047,3
27.89879846572876,0.40552290343695074,0.12567385037740073,0.020050398658686904,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9731778425655977,0.9729891423768975,0.001664739454171591,7
