mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13.304862896601358,0.9198288419847267,0.05927395820617676,0.0026728469290764573,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9691142191142191,0.9737609329446064,0.9749271137026239,0.9726007552538164,0.0025109022388550904,3
29.210652669270832,1.9453845534662273,0.12125507990519206,0.008841790968646722,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9749271137026239,0.9735722327559063,0.0019160910102490015,1
14.16263214747111,1.0002946834340178,0.060889641443888344,0.001570489431984531,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9673659673659674,0.9760932944606414,0.9720116618075801,0.9718236412113962,0.0035653960381047864,5
30.695818821589153,1.2238770205937939,0.12174638112386067,0.009067756602585056,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9644522144522144,0.9760932944606414,0.9731778425655977,0.9712411171594845,0.004945830898488339,7
14.7648237546285,0.5976273628599315,0.06123058001200358,0.000495118046261535,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9638694638694638,0.9731778425655977,0.9667638483965014,0.9679370516105209,0.003889625759521441,11
28.81361714998881,1.4216210374845595,0.11524049441019694,0.002574001845431117,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9644522144522144,0.9731778425655977,0.9667638483965014,0.9681313018047711,0.003691123867794886,10
15.147925853729248,0.6442116960247755,0.06480058034261067,0.00405072654316907,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.965034965034965,0.9731778425655977,0.9667638483965014,0.9683255519990214,0.0035029323170084757,9
29.227401336034138,1.5400433554553503,0.1345690886179606,0.01623066470226657,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9638694638694638,0.9714285714285714,0.9673469387755103,0.9675483246911818,0.003089276505139737,12
15.341191530227661,0.9173470967885785,0.07174340883890788,0.013653515670071814,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9685314685314685,0.9737609329446064,0.9749271137026239,0.9724065050595664,0.0027811179359700324,4
28.855225960413616,0.7405854153851543,0.11133535703023274,0.017686447380003092,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9749271137026239,0.9735722327559063,0.0019160910102490015,1
15.151024421056112,0.5844115661455641,0.06083949406941732,0.0014422694071232944,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.9673659673659674,0.9760932944606414,0.9720116618075801,0.9718236412113962,0.0035653960381047864,5
21.30150818824768,3.11173662112657,0.06018622716267904,0.004155132713788765,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9644522144522144,0.9760932944606414,0.9731778425655977,0.9712411171594845,0.004945830898488339,7
